student_names,phone_no.,math,physics,chemistry,grade,comment,roll_no.,school_name,student_address
Chelsey Garcia,9076305727,85,58,30,C,Below Average Achivement,577630,Martin Luther School,"USNS Warner, FPO AP 65729"
Isaac Rivera,9964330585,74,63,83,B+,Good Pursuance,539062,Martin Luther School,"21682 Bryan Forks Apt. 596, Port Cynthiaborough, MT 35932"
Mary Perez,9959875764,77,51,78,B,Average Performance,522953,Martin Luther School,"2279 Long Hollow Suite 543, Bishoptown, CT 05038"
Alex Wilson,9475861395,27,43,72,D,Poor Pursuance,519121,Martin Luther School,"831 Melissa Harbor, Andrewberg, NY 72916"
Amanda Mueller,9177726091,99,68,90,A,Very Good Achivement,542146,Martin Luther School,"773 Martinez Locks, South Rebekahshire, AL 93439"
Jennifer Hudson,9934960818,10,49,91,D,Poor Pursuance,550141,Martin Luther School,"42608 Frank Points Suite 097, South Brian, ND 72375"
Kenneth Velez,9393916657,37,65,60,C,Below Average Achivement,513257,Martin Luther School,"187 Stevens Gateway Suite 773, Johnsonberg, VI 57044"
Dana Lyons,9753886551,46,72,81,B,Average Performance,581153,Martin Luther School,"914 Leon Walks Apt. 340, New David, NC 45161"
Kristine Bell,9866758925,63,26,58,D,Poor Pursuance,599033,Martin Luther School,"990 Howe Burg Suite 040, Michaelhaven, OH 80277"
David Barrett,9514334493,70,56,36,C,Below Average Achivement,592129,Martin Luther School,"026 Laura Extension Suite 341, Kimbury, MS 19936"
Megan Carter,9585307276,95,98,49,B+,Good Pursuance,556604,Martin Luther School,"54379 Foster Crossing Suite 941, New Mark, AK 08944"
Michelle Burgess,9706611253,39,99,11,D,Poor Pursuance,561293,Martin Luther School,"64544 Mullins Heights Suite 986, Port Kennethtown, IN 97378"
Shelby Martinez,9624179393,88,19,94,B,Average Performance,555302,Martin Luther School,"187 Perry Isle, Freemanhaven, MT 40781"
Robert Strickland,9801555121,64,16,20,D,Poor Pursuance,598001,Martin Luther School,"PSC 8113, Box 1853, APO AE 85325"
Briana Hess,9156651669,62,73,37,C,Below Average Achivement,521655,Martin Luther School,"917 Matthew Point, Fergusontown, KS 37080"
Jessica Williams,9058644981,62,33,78,C,Below Average Achivement,599306,Martin Luther School,"11518 Johnson Walks Suite 747, North Bonnieton, ND 86537"
Marcus Miles,9619808379,80,89,36,B,Average Performance,535113,Martin Luther School,"600 William Estate, Walkerhaven, MS 62845"
Samantha Fuentes,9622518069,34,30,59,D,Poor Pursuance,589874,Martin Luther School,"1554 Hickman Neck Suite 909, Brownfort, GU 52898"
Hector Robles,9679856491,71,99,22,B,Average Performance,591560,Martin Luther School,"163 Melton Crescent Suite 507, Jennifershire, KY 29488"
Jorge Keith,9656776057,42,71,100,B+,Good Pursuance,545300,Martin Luther School,"484 Spencer Coves Suite 735, Davidsonville, RI 33348"
Abigail Doyle,9063685031,36,89,25,D,Poor Pursuance,560963,Martin Luther School,"8817 Ellison Prairie Suite 602, Dominguezberg, MD 22302"
Brenda Smith,9839882274,75,78,94,A,Very Good Achivement,581283,Martin Luther School,"Unit 4373 Box 5591, DPO AP 75808"
Brandon Mercer,9836181059,54,18,44,D,Poor Pursuance,591533,Martin Luther School,"488 Dave Passage Apt. 189, Bobshire, NE 63450"
Loretta Wallace,9264694057,91,74,66,B+,Good Pursuance,542086,Martin Luther School,"41565 Little Gardens, Port Jenny, WA 63445"
Michael Robinson,9728498282,58,88,94,B+,Good Pursuance,549948,Martin Luther School,"5918 Paul Way Suite 944, Lake Lindafurt, NJ 10093"
Justin Daniel,9228086434,47,14,83,D,Poor Pursuance,583129,Martin Luther School,"137 Thomas Canyon, West Claytonmouth, CO 27793"
Amy Gibbs,9407988381,63,55,78,B,Average Performance,568507,Martin Luther School,"64332 Nicholas Hill Suite 950, New Sandra, PA 74888"
Kathryn Orozco,9856083517,96,73,53,B+,Good Pursuance,570440,Martin Luther School,"86382 Jennifer Inlet, Richardport, PR 80843"
Christopher Miller,9478245887,37,18,58,D,Poor Pursuance,547676,Martin Luther School,"3808 Cameron Parkway, Port Calebview, MT 13364"
Katherine Blankenship,9092632213,76,96,72,A,Very Good Achivement,585688,Martin Luther School,"9152 Heather Manors, Lake Kristinaview, NE 28814"
Brittany Torres,9239441368,15,14,37,F,Failed,567843,Martin Luther School,"12046 Michael Meadow Suite 068, West Lindsay, CO 31963"
James Williams,9286980169,21,20,90,D,Poor Pursuance,520376,Martin Luther School,"0999 Eric Rapids Suite 384, Lake Lawrencechester, WI 43395"
Michelle Caldwell,9692260541,78,75,26,C,Below Average Achivement,524072,Martin Luther School,"185 Melanie Road Suite 301, Tatetown, KY 61092"
Ashlee Pacheco,9675217984,49,39,13,D,Poor Pursuance,569543,Martin Luther School,"PSC 5402, Box 3117, APO AE 49737"
John Lambert,9054918713,80,37,40,C,Below Average Achivement,522426,Martin Luther School,"37719 Roach Springs Apt. 742, Port Haroldfurt, MA 46258"
Courtney Hart,9779975302,48,85,20,C,Below Average Achivement,550068,Martin Luther School,"4398 Jeremy Forges, New Jesusburgh, AR 84086"
Terrence Moore,9751572609,53,88,81,B+,Good Pursuance,500916,Martin Luther School,"PSC 8733, Box 6635, APO AE 65818"
Carlos Herrera,9405142602,76,92,70,B+,Good Pursuance,595868,Martin Luther School,"4127 Winters Stravenue Apt. 689, Lesliefurt, VT 85220"
William Mendez,9395599773,91,19,81,B,Average Performance,575613,Martin Luther School,"992 Warren Ford Apt. 517, Maryborough, ME 82601"
Ronald Higgins,9157320573,18,82,80,C,Below Average Achivement,554098,Martin Luther School,"70157 Fletcher Summit Suite 153, Maxwellport, MD 75559"
Jonathan Peters,9103723065,14,29,86,D,Poor Pursuance,553423,Martin Luther School,"438 Mckinney Skyway, Brianbury, OR 49672"
Matthew Lewis,9088107872,52,20,20,F,Failed,565323,Martin Luther School,"USNV Figueroa, FPO AE 54345"
Jacob Mcdonald,9345615260,23,68,29,D,Poor Pursuance,513315,Martin Luther School,"743 Payne Roads Apt. 739, Chavezside, OH 64503"
Beverly Jackson,9460750945,28,41,53,D,Poor Pursuance,531374,Martin Luther School,"745 Harper Radial Apt. 878, New Debra, DE 17916"
Rachel Bennett,9200991281,29,83,22,D,Poor Pursuance,525524,Martin Luther School,"649 Dylan Terrace Suite 953, Johnbury, MD 66197"
Tracy Johnson,9705457953,90,99,15,B,Average Performance,530284,Martin Luther School,"03916 Brown Gateway Suite 886, South Allen, SD 87749"
Sara Price,9685924040,28,14,73,D,Poor Pursuance,538736,Martin Luther School,"24761 Grant Glens, West Ryan, MN 12588"
Melissa Hines,9442501657,61,37,85,B,Average Performance,596984,Martin Luther School,"24678 Michael Cliff Suite 773, West Ryanfurt, NE 29926"
Joseph Peters,9873153289,76,85,99,A,Very Good Achivement,545793,Martin Luther School,"580 William Bypass, Kylefurt, VT 58709"
Richard James,9661917327,64,45,56,C,Below Average Achivement,518119,Martin Luther School,"889 Alexander Pike Apt. 280, New Erica, NV 47718"
Steven Watson,9892182624,10,55,36,D,Poor Pursuance,567745,Martin Luther School,"36417 Gilmore Canyon Apt. 555, Lake Jonathanville, WA 04777"
Jordan Wheeler,9894225221,98,82,100,A+,Excellent Performance,508254,Martin Luther School,"55930 Katherine Unions, Flowersborough, NM 44830"
Adam Bennett,9423106127,76,67,83,B+,Good Pursuance,535728,Martin Luther School,"07630 Michael Turnpike Suite 201, Port Shane, WY 23530"
Stuart Juarez,9796008261,33,69,12,D,Poor Pursuance,563825,Martin Luther School,"566 Gary Lodge, New Sherryville, NC 24110"
Jared Deleon,9932945691,76,60,97,B+,Good Pursuance,554401,Martin Luther School,"67577 Jennifer Courts Suite 209, East Josephtown, OH 70135"
Troy Fitzgerald,9265720494,92,15,96,B,Average Performance,551360,Martin Luther School,"63952 Lloyd Curve Apt. 870, Joshuaborough, NE 01368"
Gregory Smith,9560253712,34,11,59,D,Poor Pursuance,583277,Martin Luther School,"PSC 9545, Box 8192, APO AA 82657"
Thomas Lopez,9289799380,85,47,61,B,Average Performance,529638,Martin Luther School,"552 Valerie Rapid Suite 279, North Kevinchester, GU 57393"
Jason Mosley,9191577658,13,64,86,C,Below Average Achivement,513914,Martin Luther School,"183 Peter Prairie Apt. 729, Lake Justinville, NE 65601"
Juan Evans,9831698053,85,81,67,B+,Good Pursuance,510889,Martin Luther School,"849 Miller Locks, Griffinmouth, NE 61200"
Peggy Monroe,9652674750,98,74,75,A,Very Good Achivement,539861,Martin Luther School,"27822 Daniel Isle, Derekside, PW 72035"
Samantha Valencia,9217871378,77,90,53,B+,Good Pursuance,576969,Martin Luther School,"53057 Alexis Fort, Garciaport, AL 78402"
Andrew Bernard,9028942894,83,16,57,C,Below Average Achivement,538417,Martin Luther School,"73188 Megan Points, West Vincent, WI 19192"
Samantha Myers,9808562290,72,99,98,A,Very Good Achivement,547664,Martin Luther School,"036 Glenn Turnpike Suite 476, Carterborough, NM 28204"
James Murray,9223656147,88,18,16,D,Poor Pursuance,586839,Martin Luther School,"0077 Bates Alley, Andrewland, OK 89038"
Shelby Brown,9097380311,69,90,27,B,Average Performance,508110,Martin Luther School,"5139 Renee Station, Robertsborough, RI 73532"
George Hanson,9767725260,10,32,42,F,Failed,538690,Martin Luther School,"USNS Thomas, FPO AE 61711"
Casey Castaneda,9213960350,14,85,96,B,Average Performance,594107,Martin Luther School,"38177 Green Tunnel, Michellefort, ME 19469"
Taylor Martin,9949429887,80,16,48,D,Poor Pursuance,521667,Martin Luther School,"5574 Teresa Ways Apt. 016, South April, CO 84113"
Jacqueline Davidson,9949470975,92,69,96,A,Very Good Achivement,535611,Martin Luther School,"8965 Jacqueline Passage, Lake Erik, ND 58070"
Pamela Spencer,9799086223,55,16,67,D,Poor Pursuance,580135,Martin Luther School,"347 David Lakes Suite 171, Brianmouth, NJ 13950"
Laura Santos,9927671404,58,19,84,C,Below Average Achivement,555601,Martin Luther School,"4467 Jocelyn Ville Apt. 552, Port Brittany, VA 66637"
John Torres,9792285264,93,99,66,A,Very Good Achivement,593658,Martin Luther School,"Unit 6723 Box 2665, DPO AE 69284"
Jacob Miles,9213046295,85,79,23,B,Average Performance,555086,Martin Luther School,"89456 Gary Crossing, West Trevorberg, NH 07048"
Jennifer Wilcox DDS,9422218411,11,94,37,D,Poor Pursuance,586569,Martin Luther School,"Unit 5853 Box 7255, DPO AE 64838"
Natasha York,9813788669,41,33,92,C,Below Average Achivement,568056,Martin Luther School,"USNV Trujillo, FPO AE 07345"
Thomas Sanders,9877988699,55,81,96,B+,Good Pursuance,540419,Martin Luther School,"36400 Tucker Center, South Eric, CT 30607"
George Phillips,9074142040,67,65,26,C,Below Average Achivement,577686,Martin Luther School,"285 Cox Ferry, North Brian, PW 89746"
Connie Patterson,9388401691,69,84,30,B,Average Performance,539566,Martin Luther School,"5778 Sarah Plains, Port Meganville, NC 09451"
Heidi Rangel,9771523614,36,66,46,D,Poor Pursuance,544143,Martin Luther School,"9973 Wright Well Apt. 892, West Carriebury, HI 86499"
Jesus Lawson,9027009206,35,20,39,F,Failed,549531,Martin Luther School,"5860 Antonio Bridge, Curtisstad, LA 39329"
David Palmer,9814250909,41,51,94,B,Average Performance,558377,Martin Luther School,"2258 Nicholas Track Apt. 288, Leeside, MP 11837"
Shawn Williams,9580959424,90,42,97,B+,Good Pursuance,511075,Martin Luther School,"0122 Rita Station Apt. 553, Melissahaven, WV 77559"
Kevin Hayes,9933523291,36,93,66,B,Average Performance,585109,Martin Luther School,"95417 Elizabeth Via, Matthewfort, AS 58917"
Gregory Green,9971510086,72,97,41,B,Average Performance,502165,Martin Luther School,"596 Alexis Grove Suite 413, Port Calvin, GU 45845"
John Shepard MD,9567213748,59,51,57,C,Below Average Achivement,554854,Martin Luther School,"7966 Lowe Estates Suite 246, Allenmouth, LA 38709"
Kelsey Gibbs,9000106629,39,24,64,D,Poor Pursuance,587720,Martin Luther School,"79204 Gonzalez Gardens Apt. 077, Clarkhaven, CA 58983"
April King,9527865937,29,58,78,C,Below Average Achivement,564610,Martin Luther School,"58555 Wendy Lodge, West Aaron, GU 42087"
Deborah Owen,9829270469,41,57,49,D,Poor Pursuance,586254,Martin Luther School,"90349 Joshua Inlet Suite 926, Alexanderside, KS 95334"
Samantha Hunt,9682091161,69,20,54,D,Poor Pursuance,586411,Martin Luther School,"96897 Wade Spurs, Newmanburgh, AL 34353"
Courtney Meyer,9499352631,25,69,46,D,Poor Pursuance,592197,Martin Luther School,"4412 Frost Shoal, Victoriatown, KS 44208"
Julie Tucker,9385219441,62,85,78,B+,Good Pursuance,501041,Martin Luther School,"1257 Griffin Parkways, East Richardburgh, PR 92615"
John Harris,9869597108,69,68,79,B+,Good Pursuance,568187,Martin Luther School,"83966 Brown Street Suite 665, Campbellberg, KY 30248"
Tanya Pennington,9821537556,31,24,72,D,Poor Pursuance,574555,Martin Luther School,"577 Gibbs Freeway, Port Josephton, AS 06249"
James Dorsey,9541607793,93,16,68,C,Below Average Achivement,557611,Martin Luther School,"261 Gonzalez Flats, New Carla, NE 02461"
Carly Frye,9930585888,45,96,98,B+,Good Pursuance,501973,Martin Luther School,"7136 Jones Extensions, Lake Ryan, CT 39075"
Emily Turner,9742722872,11,99,15,D,Poor Pursuance,546575,Martin Luther School,"USNS Hall, FPO AP 53934"
William Murphy,9409259246,68,40,81,B,Average Performance,502301,Martin Luther School,"60631 Cody Pike, Josephport, OK 63538"
Kelly Reed,9071800776,53,45,89,B,Average Performance,555991,Martin Luther School,"5512 Perez Radial, East Rachel, MH 92405"
Aaron Barnes,9218097495,11,24,87,D,Poor Pursuance,505561,Martin Luther School,"29718 Joseph Pine Suite 323, Smithburgh, GU 64372"
Kenneth Wolf,9996923264,29,99,18,D,Poor Pursuance,505971,Martin Luther School,"3052 Blevins Pass, Wufort, IN 77282"
Alex Keith,9056849832,50,48,93,B,Average Performance,560863,Martin Luther School,"49662 Ortega Roads, Mitchellbury, KS 88929"
Cathy Carey,9083577901,70,93,57,B+,Good Pursuance,506268,Martin Luther School,"4684 Greg Squares, Taylorfort, RI 30617"
Heather Martin,9299622487,86,70,76,B+,Good Pursuance,506689,Martin Luther School,"74916 Snyder Crest Apt. 453, North Natasha, TX 50200"
John King,9784161250,61,69,39,C,Below Average Achivement,597599,Martin Luther School,"0031 Jessica Trafficway, Anthonyside, AS 98129"
Rebecca Espinoza,9840549251,80,55,28,C,Below Average Achivement,532521,Martin Luther School,"9255 Robbins Drive, Michelleborough, NH 96410"
Walter Graham,9819867761,100,23,89,B,Average Performance,544449,Martin Luther School,"626 Brandi Ranch Apt. 910, Jeremyberg, MS 92470"
Deborah Carpenter,9731200943,35,52,29,D,Poor Pursuance,536902,Martin Luther School,"Unit 4003 Box 8758, DPO AE 65172"
Haley Hernandez,9315158101,72,57,56,B,Average Performance,563561,Martin Luther School,"1798 David Trail Suite 220, Emilyside, OK 55960"
John Rogers,9311360046,76,49,16,D,Poor Pursuance,576808,Martin Luther School,"317 Kim Prairie Suite 972, Joshuaview, IA 85504"
Susan Castillo,9120004202,15,45,85,D,Poor Pursuance,532944,Martin Luther School,"Unit 4845 Box 0042, DPO AP 22335"
John Sawyer,9033078085,44,48,53,D,Poor Pursuance,596149,Martin Luther School,"73505 Andrew Corners Suite 927, Carterbury, GU 93771"
Jessica Aguilar,9332135382,49,91,96,B+,Good Pursuance,554395,Martin Luther School,"64096 Joseph Skyway Apt. 621, Allenton, AZ 24015"
Amy Carter,9613100797,93,83,31,B,Average Performance,505679,Martin Luther School,"3538 Jennifer Estate, Charleschester, MH 92286"
Michelle Vincent,9688398013,82,34,95,B,Average Performance,559446,Martin Luther School,"80149 Briana Burg Suite 742, Maryville, TX 69341"
Bradley Phelps,9620697393,37,91,60,B,Average Performance,590583,Martin Luther School,"0773 Troy Well, Gibsonport, VA 18536"
Matthew Hurst,9702951735,92,11,100,B,Average Performance,532239,Martin Luther School,"594 Gregory Harbor Suite 012, Hardintown, MT 79767"
Melissa Williamson,9880577124,57,26,48,D,Poor Pursuance,552654,Martin Luther School,"5785 Sheri Loop Apt. 805, Hughesburgh, MA 46534"
Marie Marshall,9943652366,42,64,70,C,Below Average Achivement,595747,Martin Luther School,"46811 Moore Point, North Michaelfurt, AK 08384"
Martha Butler,9129166018,75,46,32,C,Below Average Achivement,572275,Martin Luther School,"2388 Christopher Islands, New Rachelland, SD 40616"
Maria Davis,9126399098,87,80,39,B,Average Performance,599742,Martin Luther School,"7414 Joseph Meadow Suite 888, Lake Kari, MA 34916"
Sarah Sanders,9813679336,93,35,97,B+,Good Pursuance,507812,Martin Luther School,"221 Wilson Place, Danielville, MT 51604"
Lauren Key,9020746314,95,14,36,D,Poor Pursuance,572056,Martin Luther School,"6457 Brian Motorway, Parsonsshire, PW 29322"
Mike Sullivan,9404538334,32,59,51,D,Poor Pursuance,505378,Martin Luther School,"01256 Robert Points, North Charlesborough, AS 45262"
Natalie Cruz,9972379428,81,52,57,B,Average Performance,597413,Martin Luther School,"PSC 9604, Box 3433, APO AA 85721"
Evan Brown,9947401604,31,96,62,B,Average Performance,556161,Martin Luther School,"1061 Hayes Bridge Apt. 164, Christopherhaven, MP 34857"
Sarah Brown,9609947468,19,10,21,F,Failed,588355,Martin Luther School,"441 Johnson Estates Suite 866, Hensonshire, VT 33614"
Daniel Reed,9145185332,31,29,40,D,Poor Pursuance,548644,Martin Luther School,"USCGC Harmon, FPO AE 15641"
Megan Gomez,9443748185,51,21,31,D,Poor Pursuance,584835,Martin Luther School,"98831 Roy Garden, Port Jessicashire, ID 08839"
Mackenzie Russell,9701047973,34,100,65,B,Average Performance,547336,Martin Luther School,"14359 David Tunnel Apt. 915, New Mallory, CT 87447"
Jeremy Jones,9887438570,83,89,52,B+,Good Pursuance,556582,Martin Luther School,"62902 Richardson Throughway Apt. 136, East Erik, VT 49385"
Beth Liu,9598519974,24,25,92,D,Poor Pursuance,515222,Martin Luther School,"Unit 8791 Box 7347, DPO AE 09400"
Travis Brennan,9319039281,85,53,94,B+,Good Pursuance,521585,Martin Luther School,"8222 Davis Ville Suite 342, South Vincentside, NM 79744"
Aaron Long,9408758309,67,12,17,F,Failed,536957,Martin Luther School,"1981 David Glen, New Charles, OH 91479"
Scott Fox,9146869005,64,48,23,D,Poor Pursuance,579441,Martin Luther School,"7091 Duncan Well, Johnbury, HI 47096"
Angela Brock,9871758239,37,29,16,F,Failed,504125,Martin Luther School,"89769 Alexa Spring Apt. 746, North Kevin, LA 47707"
Sarah Hughes,9922044497,42,54,99,B,Average Performance,509672,Martin Luther School,"23610 Rice Manor, Burgessshire, CO 58356"
Shannon Tucker,9109764796,25,74,59,C,Below Average Achivement,509651,Martin Luther School,"85239 Rice Lock, Kevinville, DE 50155"
Daniel Mills,9452595412,33,22,38,F,Failed,505690,Martin Luther School,"16411 Cruz Overpass Apt. 699, Tylerfort, CT 10202"
Sean Garcia,9437930223,21,82,80,B,Average Performance,557022,Martin Luther School,"10987 Darrell Locks, North Rodneyfurt, OR 91690"
Lee Erickson,9259325533,63,40,81,B,Average Performance,583854,Martin Luther School,"189 Andrew Groves, West Paige, MI 23704"
Veronica Collins,9728921351,65,48,28,D,Poor Pursuance,543495,Martin Luther School,"625 Parker Track, North Brendaburgh, AR 94556"
Andrea Quinn,9721619655,84,14,32,D,Poor Pursuance,512181,Martin Luther School,"5590 Sutton Lock, Port Deborahborough, RI 97040"
Keith Morales,9014837976,73,56,28,C,Below Average Achivement,516602,Martin Luther School,"4672 Cheryl Ramp, Lake Roger, NV 14119"
Janet Briggs,9983548549,11,19,22,F,Failed,521620,Martin Luther School,"87768 James Lodge, Catherinemouth, GA 48834"
Jeffrey Farmer,9513955751,49,100,99,A,Very Good Achivement,595538,Martin Luther School,"373 Pamela Curve Suite 265, Kimton, AZ 30210"
Michael Watts,9099642443,46,71,11,D,Poor Pursuance,574930,Martin Luther School,"02483 Chavez Green Apt. 831, North Stephen, HI 32807"
Aaron Smith,9935074071,11,68,28,D,Poor Pursuance,567138,Martin Luther School,"2943 Smith Knoll, Lake Barbaraville, NM 43560"
Kimberly Steele,9530812185,94,43,68,B,Average Performance,567214,Martin Luther School,"3136 Billy Harbor Suite 676, Justinville, RI 35038"
Deanna Salazar,9322417243,46,92,33,C,Below Average Achivement,589852,Martin Luther School,"47170 Phillips Drive, Marciamouth, ME 53028"
Oscar Russell,9301430452,23,60,53,D,Poor Pursuance,563859,Martin Luther School,"1879 Taylor Station Suite 507, East Brenda, GA 97952"
Eric Baker,9042694478,100,94,97,A+,Excellent Performance,541608,Martin Luther School,"61165 Brian Turnpike, Kevinhaven, RI 58335"
Adam Wood,9112382235,94,69,52,B+,Good Pursuance,569972,Martin Luther School,"7132 Bruce Corner, Grantville, NH 47128"
Tina Miller,9352274601,46,57,73,C,Below Average Achivement,513895,Martin Luther School,"95930 Charles Wells, Jessefurt, VA 31454"
Christopher Perry,9963454627,64,54,66,B,Average Performance,583243,Martin Luther School,"3570 Donna Brooks Suite 695, Moranmouth, MT 13551"
Julie Johnson,9884400714,13,19,94,D,Poor Pursuance,569773,Martin Luther School,"0902 Gibbs Lake Suite 615, Port Vincent, TX 79211"
Catherine Henderson,9868273796,89,55,96,B+,Good Pursuance,592956,Martin Luther School,"16002 Jesus Views, New Susanmouth, HI 90304"
Patrick Johnston,9739751854,79,83,98,A,Very Good Achivement,586541,Martin Luther School,"PSC 6386, Box 0150, APO AE 83060"
Jacqueline Martin,9955966328,16,31,41,F,Failed,541489,Martin Luther School,"4292 Carla Ridges Suite 676, East William, VT 43048"
Anthony Martinez,9601655042,42,80,89,B,Average Performance,504094,Martin Luther School,"00720 Elizabeth Row Suite 745, New Carrieside, KY 02189"
Christopher Cox,9316665011,10,44,93,D,Poor Pursuance,541541,Martin Luther School,"226 Williams Inlet Suite 380, South Philipburgh, PR 19848"
Benjamin Hall,9486882043,68,81,78,B+,Good Pursuance,560222,Martin Luther School,"4101 Thomas Trail Apt. 781, New Jeanne, IN 98166"
Amber Duran,9463550881,59,81,41,C,Below Average Achivement,589500,Martin Luther School,"58103 Jennifer Wells Suite 530, Pattersonview, LA 60473"
Alan Jensen,9371661190,14,23,92,D,Poor Pursuance,557938,Martin Luther School,"05234 Adam Branch, North Brianchester, DC 02743"
Stephen Scott III,9611854686,46,90,46,C,Below Average Achivement,505132,Martin Luther School,"89624 Andrew Street, Port Daniellechester, NH 10829"
Sara Rodriguez,9235328552,53,20,14,F,Failed,592283,Martin Luther School,"0177 Brian Road Suite 114, West Dean, MH 35276"
Melanie Johnson,9412769617,40,72,64,C,Below Average Achivement,589790,Martin Luther School,"68889 Kyle Orchard Apt. 168, South Dawn, WY 92327"
Virginia Riggs,9258104655,74,99,33,B,Average Performance,510004,Martin Luther School,"94798 Wilson Expressway, South Jacqueline, PR 94094"
Ryan Mccoy,9270773663,33,100,87,B+,Good Pursuance,517452,Martin Luther School,"368 Johnson Port, Smithside, WI 29541"
Ernest Hunter,9546415917,22,24,42,F,Failed,536239,Martin Luther School,"03353 Tiffany Grove Suite 393, New Erikfurt, NV 23164"
Darrell Frey,9002502188,76,74,62,B,Average Performance,546318,Martin Luther School,"7559 David Land, Port Danielport, KY 79464"
Troy Evans,9406469993,99,49,85,B+,Good Pursuance,586848,Martin Luther School,"43722 Kristie Crescent, West Devin, NH 82816"
Jamie Callahan,9984834833,67,40,79,B,Average Performance,576235,Martin Luther School,"500 Gonzalez Lodge Apt. 429, Garrettville, AL 06369"
Anita Gonzalez,9959093994,66,91,44,B,Average Performance,516792,Martin Luther School,"USCGC Cannon, FPO AE 57094"
Karen Miller,9742266066,88,75,38,B,Average Performance,540465,Martin Luther School,"026 Williams Mill, Simmonsberg, WI 26308"
Lonnie Murphy,9354217956,12,53,84,D,Poor Pursuance,504585,Martin Luther School,"518 King Shores, Daniellebury, KY 74582"
Jacob Bell,9821193945,18,28,89,D,Poor Pursuance,559452,Martin Luther School,"608 Hughes Radial, Port Andrew, MP 62177"
Stephanie Montgomery MD,9013239959,26,27,79,D,Poor Pursuance,503615,Martin Luther School,"7000 Torres Neck, Jesseton, MP 38608"
Barry Hayes,9892172430,75,91,43,B,Average Performance,539455,Martin Luther School,"461 Conner Oval Apt. 161, New Laura, ND 88410"
Ashley Peterson,9958539802,80,52,73,B,Average Performance,512001,Martin Luther School,"98981 Henry Manors Suite 276, New Henry, OK 10218"
Diana Murphy,9587371659,85,79,26,B,Average Performance,512551,Martin Luther School,"451 Joshua Burgs, Patriciachester, MH 93120"
Shawn Lopez,9644901034,21,97,41,C,Below Average Achivement,524703,Martin Luther School,"191 James Mall Suite 838, Chenview, OK 24764"
Christina Mcgrath,9651015129,54,96,22,C,Below Average Achivement,537580,Martin Luther School,"4117 Wright Stream Apt. 796, Ashleychester, VA 59591"
Veronica Morris,9319331201,90,17,90,B,Average Performance,574316,Martin Luther School,"5681 Crystal Manors Apt. 171, Port Mary, MP 85322"
Ms. Ashley Page,9988053540,17,29,26,F,Failed,556482,Martin Luther School,"0505 Barry Union, Lake Brooke, IA 97405"
Melissa Bautista,9605986018,31,14,79,D,Poor Pursuance,585413,Martin Luther School,"75388 Jones Fork Suite 723, North Angela, PW 41691"
Megan Chambers,9392110453,20,86,67,C,Below Average Achivement,595561,Martin Luther School,"97669 Whitehead Vista, Wardfort, CO 16502"
Margaret Rose,9139406596,100,99,37,B+,Good Pursuance,562709,Martin Luther School,"5561 Perry Port, Michaelborough, NH 37436"
Mr. John Wiley,9243506787,84,22,89,B,Average Performance,548919,Martin Luther School,"3151 Hartman Rest, West Alex, NV 70175"
Brandon Johnston,9794397683,99,94,14,B,Average Performance,549371,Martin Luther School,"PSC 5735, Box 6646, APO AP 00750"
Gina Hancock,9919690504,57,37,64,C,Below Average Achivement,578196,Martin Luther School,"3580 Cheryl Neck Suite 339, Anthonychester, GU 58386"
Vernon Miller,9393565784,92,20,70,C,Below Average Achivement,529178,Martin Luther School,"421 Christopher Stravenue Suite 038, New Susanport, NY 26381"
Terry Herrera,9652874115,98,65,39,B,Average Performance,548207,Martin Luther School,"811 Jason Knoll, Hughesberg, AK 99941"
Autumn Ford,9653296534,79,67,47,B,Average Performance,529605,Martin Luther School,"869 Mendez Valley Suite 366, North Danielleberg, NM 71556"
Lindsey Thompson,9814070282,73,18,41,D,Poor Pursuance,591884,Martin Luther School,"3005 Wyatt Divide Apt. 046, North Christopherton, IA 70089"
Mary Cook,9633515737,85,42,86,B+,Good Pursuance,500290,Martin Luther School,"7646 Stephens Hollow, Evanview, ID 17950"
Cody Hahn,9877542019,85,24,42,D,Poor Pursuance,542230,Martin Luther School,"Unit 6685 Box 8461, DPO AE 22283"
Paul Jones,9529574452,82,67,45,B,Average Performance,586153,Martin Luther School,"363 Brian Courts Suite 488, North Juliestad, MS 86947"
Rebecca Thomas,9124861936,85,81,71,B+,Good Pursuance,563702,Martin Luther School,"18053 Sally Extensions, North Donaldport, NM 19667"
Amanda Wilson DVM,9330720955,87,85,24,B,Average Performance,509577,Martin Luther School,"944 Cynthia Stravenue, Erinland, MD 15495"
Crystal Sanford,9626788711,92,45,74,B,Average Performance,535931,Martin Luther School,"203 Dougherty Springs, West Darrylfort, ND 56981"
Julie Spence,9741660377,87,14,18,D,Poor Pursuance,560311,Martin Luther School,"USNS Edwards, FPO AE 35599"
Stephanie Cochran,9169530556,49,15,70,D,Poor Pursuance,576512,Martin Luther School,"42802 Eric Estates Apt. 360, New Anita, MH 23971"
Jessica Thornton,9328167740,92,94,51,B+,Good Pursuance,530295,Martin Luther School,"2286 Hatfield Land Suite 776, Port Michellehaven, CO 50655"
Katelyn Thompson,9635256425,40,38,99,C,Below Average Achivement,566808,Martin Luther School,"PSC 0303, Box 6107, APO AE 65146"
Chelsea Simmons,9404932532,84,60,24,C,Below Average Achivement,509943,Martin Luther School,"786 Erica Roads Suite 973, Brennantown, IN 14744"
